№п\п,Отзыв,Ответ
1,"Довожу до Вашего сведения, что г. на горячую линию обратилась клиент ФИО, телефон) с жалобой на ПЗ Сочи.  Клиент (дата) обратилась в указанный ПЗ с вопросом сдачи биоматериала на ряд исследований , в том числе комплексных пакетов.  Клиент недовольна тем, что в ПЗ пациенты находились без масок и перчаток, сотрудник на регистратуре также работала без перчаток. Клиент также недовольна тем, что сотрудник разговаривала с клиентом нехотя, отказывалась консультировать клиента, объясняя отказ тем, что «зависает» компьютер, пока клиент не пригрозила оставить жалобу. В середине разговора сотрудник ушла в туалет. После посещения туалета сотрудник не обработала руки при пациенте.  Клиент просит разобраться и принять меры.   Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата)  (ФИО, телефон) с жалобой на ПЗ Сочи. По обращению пациента проведено служебное расследование, в ходе которого просмотрены записи с камер видеонаблюдения. Установлено, что в начале диалога медсестра отвечает на все вопросы клиента дружелюбно и вежливо. Проинформировала, что идет разделение пациентопотока, что в первую половину дня, возможно, сдать все анализы, интересующие клиента, кроме Коронавируса. Прием анализов на CоVid начинается с 12:00. После, у пациентки возник вопрос на иные комплексы. На камере видно, что медсестра перезагружает компьютер, начинает нервничать и сообщает, что по причине того, что компьютер «завис», не может более предоставить никакой информации и рекомендует обратиться на горячую линию по всем вопросам. Обратная связь по произошедшему инциденту сотруднику выдана. Пациенту принесены извинения от лица компании за сложившуюся ситуацию. Предложено было подобрать удобное время для записи на анализы. Относительно принятия лекарственных препаратов перед сдачей анализов по щитовидной железе, предложен перезвон врача-консультанта для предоставления полной информации. Пациент поблагодарила за обратную связь, относительно сдачи анализов в нашей лаборатории пока подумает. "
2,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Клиент обратился  в указанный ПЗ (дата) для сдачи биоматериала на ряд исследований. Клиент предъявил сотруднику ПЗ 2 подарочных сертификата арендодателям номиналом 1000р. каждый для оплаты заказа. Клиент недоволен тем, что сотрудник в общении с клиентом позволяла себе «хамство», отказалась принимать сертификаты в качестве оплаты.   Клиент просит разобраться и принять меры.   Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проведено служебное расследование, по итогам которого вина медсестры не подтверждена. При просмотре записей с камер видеонаблюдения видно, что клиент предоставляет распечатанный предварительный заказ с сайта со списком исследований, 2 сертификата номиналом 1000 рублей для арендодателей и купон на скидку 5% с сайта компании. По условиям действия, сертификат не может быть использован с иными акциями и скидками в компании. Срок действия сертификата начинается  позднее даты обращения.  Медсестра сообщает о том, что купон с сайта и сертификаты не могут быть использованы совместно в одном заказе и что позвонит, уточнит условия предоставления у менеджера. Клиент отказался ожидать, забрал сертификаты и ушел. Пациенту принесены извинения от лица компании за сложившуюся ситуацию.  Даны пояснения по условиям действия сертификатов"
3,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на правила предоставления услуги «Выезд на дом». Клиент оформила услугу «Выезд на дом медицинской сестры» на (дата) Клиент недовольна тем, что ожидать медсестру необходимо с 7:00 до 12:00.  Клиент не смогла дождаться медицинской сестры по причине приема лекарственных препаратов по беременности и отменила вызов.  Клиент просит разобраться и принять меры.   Ждет звонка администрации",
4,"     Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на ПЗ.  Клиент недовольна качеством обслуживания. Клиенту удобно обращаться в указанный ПЗ. Клиент недовольна тем, что сотрудник общается неприветливо, не отвечает на вопросы   клиента по   подготовке и правилах сбора и хранения биоматериала. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проведено служебное расследование, в ходе которого установлено время визита клиента и просмотрены камеры видеонаблюдения. На камерах нарушений не зафиксировано. Сотрудник информирует пациента по правилам подготовки  и сбора материала, также сообщает, что на контейнере указана инструкция. Регистратор ведет диалог согласно регламента обслуживания.Клиенту принесены извинения от лица компании за то, что во время посещения лаборатории были моменты, которые его огорчили. Пациент поблагодарила за обратную связь, в дальнейшем также планирует обращаться в лабораторию."
5,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Жена клиента ФИО  обратилась  в указанный ПЗ  (дата) по предварительной записи на УЗИ – обследование.  Клиент недоволен тем, что врач УЗИ в этот день не вел прием.  Клиент просит разобраться и принять меры. Ждет   звонка администрации.",
6,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на ПЗ.  Клиент обратилась  в указанный ПЗ (дата) во второй половине для сдачи биоматериала  своему ребенку.   Клиент недовольна тем, что в указанном ПЗ ведется прием на исследование «Коронавирус». Клиент также недовольна тем, что на сайте компании и в других источниках не размещена информация о режиме приема биоматериала на стандартные исследования и на исследование «Коронавирус». Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. Во время диалога с пациентом выяснилось, что клиент в принципе считает недопустимым прием материала на исследование «Коронавирус» в детской лаборатории «Baby Lab». Пациенту даны пояснения, что лаборатория CL обладает всеми необходимыми разрешениями Роспотребнадзора, а также лицензиями на право проведения исследований 3-4 группы патогенности. Соблюдаются все меры защиты и предосторожности при обслуживании пациентов. К сожалению, наличие таковых документов не убедило клиента в законности проведения анализа на «Коронавирус» в указанном филиале. "
7,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Клиент обратился в указанный ПЗ (дата) в 12:00 по предварительной записи для сдачи биоматериала на исследование «Коронавирус». Клиент недоволен тем, что сотрудник отказала клиенту в приеме биоматериала, объяснив отказ тем, что ПЗ закрыт под обслуживание корпоративных клиентов. Клиент просит разобраться и принять меры. Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проверена информация. Установлено, что  указанный филиал действительно был закрыт под обслуживание корпоративных клиентов на сдачу анализов на коронавирусную инфекцию.  
Пациент был записан на 12:00. Сотрудники ПЗ, к сожалению, физически не успели вовремя перезвонить клиенту для переноса записи. Пациенту принесены извинения от лица компании за доставленные неудобства. Предложено подобрать удобное время для сдачи материала. В настоящий момент, необходимость в анализе для клиента уже отсутствует. Планирует обращаться после 06.05.2020г. 
"
8,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (дата) с жалобой на ПЗ.  Клиент обратилась  в указанный ПЗ (дата) до 12:00 для сдачи биоматериала.   Клиент недовольна тем, что сотрудник отказала клиенту в приеме биоматериала, объяснив отказ тем, что начала обслуживание клиентов организации. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проверена информация. Выяснилось, что с 11:00 производился прием пациентов от организации на коронавирусную инфекцию. Медсестра на входной группе повесила соответствующее объявление. При обращении клиента, сотрудник, извинившись, проинформировала, что вынуждена отказать в приеме материала по данной причине. Предложила обратиться позднее, после окончания обслуживания организации либо в другой день. Пациенту принесены извинения от лица компании за доставленные неудобства. Клиент сдала материал на необходимое исследование на следующий день в другом филиале лаборатории. "
9,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на оператора контакт-центра.  Клиент (дата) обратилась на горячую линию с вопросом сдачи биоматериала на ряд исследований в г. Анапа. Оператор проинформировала клиента о том, что биоматериал на исследования она может сдать до 12:00.  Клиент (дата). в 11:50 обратился в ПЗ Анапа. Клиент недоволен тем, что в ПЗ уже велось оформление  пациента на исследование «Короновирус». Сотрудник ПЗ попросила клиента подождать на улице. Клиент повторно обратилась на горячую линию. Оператор предложила клиенту обратиться в другой ПЗ  до 14:00. Клиент недовольна тем, что в предложенном ПЗ клиенту также отказали. Клиент просит разобраться и принять меры.   Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на оператора контакт-центра. По обращению пациента проведено служебное расследование. При первом звонке, оператор проконсультировала клиента верно, сообщив актуальное время приема биоматериала. Вины оператора нет. В первом ПЗ  на несколько минут ранее своего времени подошел пациент по предварительной записи на сдачу коронавирусной инфекции. Так как других пациентов не было, медсестра занялась оформлением клиента. При повторном звонке клиента на горячую линию, вина оператора Контактного Центра подтверждена. Сотрудник действительно предоставила неверную информацию по времени сдачи биоматериала. Обратная связь сотруднику выдана. Пациенту принесены извинения от лица компании за доставленные неудобства. Необходимые анализы клиент сдала в сторонней лаборатории."
10,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на выездную медсестру.  Клиент оформила услугу «Выезд медицинской сестры на дом» на (дата). Клиент для получения результата указала сотруднику адрес электронной почты. Клиент недовольна тем, что сотрудник не внесла в заказ электронную почту. По этой причине клиент не смогла получить результат. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на выездную медсестру. По обращению пациента проверена информация. В истории заказа отражено, что изначально при оформлении (05.05.2020г.), e-mail в товарный чек не внесен. Адрес электронной почты  был добавлен 09.05.2020г. выездной медицинской сестрой. Во время диалога с клиентом выяснилось, что результат исследования пациент забрала самостоятельно на ПЗ, по просьбе пациента результат также был направлен на электронный адрес. Клиенту принесены извинения от лица компании за доставленные неудобства. Претензий более к компании не имеет. "
11,"Довожу до Вашего сведения, что на горячую линию обратилась клиент (ФИО, тел.) с жалобой на качество обслуживания ПЗ Сочи.  Клиент дважды обращалась  в указанный ПЗ 30.04.2020 г. для сдачи биоматериала и 04.05.2020 г. за результатом исследования. Клиент недовольна тем, что сотрудник указанного ПЗ позволяет себе общаться с клиентом грубо и неприветливо. Также сотрудник грубо отказывала клиенту в просьбе посетить санузел и клиенту пришлось ругаться с сотрудником.  Клиент считает подобное отношение недопустимым.  Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку (ФИО, тел) с жалобой на качество обслуживания ПЗ Сочи. По обращению пациента проведено служебное расследование, в ходе которого просмотрены записи с камеры видеонаблюдения. При просмотре подтверждено, что медсестра ведет диалог с пациентом неприветливо и недружелюбно. Не использует слов вежливости при просьбе что-либо выполнить пациента (надеть бахилы, обработать руки, предоставить паспорт, заполнить договор). Разрешила воспользоваться уборной только после объяснения пациентом, что в этом есть крайняя необходимость по состоянию здоровья. Сотруднику выдана обратная связь по произошедшему инциденту, проведена беседа по сервисному обслуживанию. Пациенту принесены извинения от лица компании за доставленные неудобства. "
12,"Довожу до Вашего сведения, что на горячую линию обратилась клиент (ФИО, тел.) с жалобой на ПЗ Ейск.  Клиент обратилась в указанный ПЗ для сдачи биоматериала на исследование «Коронавирус». Клиент недовольна тем, что сотрудник ПЗ сфотографировала паспорт клиента на личный телефон. Клиент считает это нарушением. Клиент просит разобраться и принять меры.   Ждет звонка администрации.","Ответ на Вашу служебную записку  (ФИО, тел.) с жалобой на ПЗ Ейск. По обращению пациента проверена информация. Установлено, что медсестра фотографировала паспорт пациента для отправки в ОЭБ согласно предоставленной ранее инструкции по оформлению пациентов на CoVid 19. После отправки данных, информация удаляется. Необходимость в паспортных данных пациента – одно из требований Роспотребнадзора, т.к. в случае положительного результата вся информация передается в Роспотребнадзор, в случае отрицательного результата копии документа пациента удаляются."
13,"     Довожу до Вашего сведения, что на горячую линию обратился клиент (ФИО, тел. ) с жалобой на задержку выдачи результата.  Клиент обратился  в   ПЗ  для сдачи биоматериала на исследование «Коронавирус».   Клиент недоволен тем, что 13.05.2020 г. исследование  не было выполнено. Клиент считает, что лаборатория нарушает сроки выполнения исследования – 2 рабочих дня. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку (ФИО, тел.) с жалобой на задержку выдачи результата.  По обращению пациента проверена информация. Исследование клиента было выполнено в установленный срок, без задержек. Также просмотрены записи с камер видеонаблюдения. На камерах отражено, что при оформлении клиента медсестра сообщает верные сроки готовности результата. Пациент выражает свое недовольство, говоря, что организация предоставила ему меньший срок годности результата и интересуется возможностью более быстрого выполнения. Сотрудник информирует, что такой возможности нет. Пациенту принесены извинения от лица компании за возникшее недопонимание. Претензий более не имеет."
14,"Довожу до Вашего сведения, что на горячую линию обратилась клиент (ФИО, тел) с жалобой на ПЗ.  Клиент обратилась в указанный ПЗ для сдачи биоматериала на исследование «Коронавирус».  Клиент недовольна тем, что при оформлении заказа сотрудник сфотографировала паспорт на свой личный телефон и отправила фотографию. На просьбу клиента показать инструкцию, в которой прописано, что клиент имеет право фотографировать паспорт на личный телефон, сотрудник ничего не смогла ответить. Со слов клиента, сотрудник «в грязной зоне» по правилам отсканировала паспорт клиента. Сотрудник предупредила клиента о том, что программа зависает и фотография может не получиться. Если фотография не получится, то анализ не будет выполнен.   Клиент просит разобраться и принять меры.   Клиент просит срочную обратную связь от администрации для уточнения информации прошло ли оформление заказа.  ","По обращению пациента проверена информация. Установлено, что медсестра фотографировала паспорт пациента для отправки в ОЭБ согласно предоставленной ранее инструкции по оформлению пациентов на CoVid 19. Пациент проинформирован, что в заказ все персональные данные внесены успешно. Задержек в выполнении исследования по данной причине быть не может. Предоставлены пояснения, что паспортные данные необходимы по требованию Роспотребнадзора, т.к. в случае положительного результата вся информация передается в Роспотребнадзор, в случае отрицательного результата копии документа пациента удаляются. Клиенту принесены извинения от лица компании за возникшее недопонимание. Претензий пациент более не имеет."
15,"Довожу до Вашего сведения, что на горячую линию обратилась клиент (ФИО, тел) с жалобой на ПЗ.  Клиент обратилась в указанный ПЗ для сдачи биоматериала.  Клиент недовольна тем, что сотрудник сфотографировала паспорт клиента на свой личный телефон. Клиент считает грубым нарушением то, что в личном устройстве сотрудника хранятся персональные данные клиента. Клиент просит удалить свои данные в устройстве сотрудника. Клиент считает, что  филиалы должны быть оснащены специальной техникой для сканирования документов.  Клиент просит разобраться и принять меры.   Ждет звонка администрации.","По обращению пациента проверена информация. Установлено, что медсестра фотографировала паспорт пациента для отправки в ОЭБ согласно предоставленной ранее инструкции по оформлению пациентов на CoVid 19. После отправки данных, информация удаляется. Необходимость в паспортных данных пациента – одно из требований Роспотребнадзора, т.к. в случае положительного результата вся информация передается в Роспотребнадзор, в случае отрицательного результата копии документа пациента удаляются. С клиентом связаться, к сожалению, не удалось. При попытках дозвона - вызов отклоняется. "
16,"     Довожу до Вашего сведения, что на горячую линию обратилась клиент (ФИО, тел) с жалобой на ПЗ.  Клиент  обратилась в указанный ПЗ для сдачи биоматериала на гистологическое исследование соскоба из полости матки своей маме  ФИО. Сотрудник проинформировала клиента о том, что анализ будет готов (дата). Клиент для уточнения информации обратилась на горячую линию. Оператор проинформировала клиента, что указанное исследование выполняется в течение 10 дней. Клиент просит разобраться и принять меры.   Ждет звонка администрации.","По обращению пациента проверена информация, установлено, что срок выполнения указанного исследования составляет 10 дней. Сотрудникам ПЗ напомнен срок выполнения исследования. Для ускорения готовности результата, информация была направлена заведующей отделением. Исследование выполнено в срок, о чем клиент сразу была проинформирована по звонку, подобран ближайший филиал лаборатории для получения результата. Пациенту принесены извинения от лица компании за доставленные неудобства. Клиент поблагодарила за обратную связь, претензий к компании более не имеет."
17,"Довожу до Вашего сведения, что на горячую линию обратилась клиент (ФИО тел) с жалобой на оператора контакт-центра.  Клиент обратилась  на горячую линию с вопросом режима приема биоматериала в ПЗ Сочи. Оператор проинформировала клиента о том, что прием биоматериала на исследования осуществляется до 17:00. При обращении клиента  в указанный ПЗ, сотрудник ПЗ проинформировала клиента о том, что прием биоматериала до 12:00. Клиент просит разобраться и принять меры.   Ждет звонка администрации.","По обращению пациента проведено служебное расследование, в ходе которого вина оператора Контактного Центра подтверждена. Сотрудник действительно предоставила неверную информацию по времени сдачи биоматериала. Оператор на данной должности работала первый день. Обратная связь сотруднику выдана. Пациенту принесены извинения от лица компании за доставленные неудобства. Клиент поблагодарила за обратный звонок, претензий более к компании не имеет. 26.05.2020г. сдала анализы на необходимые исследования в том же филиале лаборатории."
18,"     Довожу до Вашего сведения, что на горячую линию обратился клиент (ФИО, тел) с жалобой на.  Клиент обратился  в указанный ПЗ для сдачи биоматериала на исследование «Коронавирус».   Клиент недоволен тем, что сотрудник неверно внесла дату рождения клиента и адрес электронной почты. Клиент не смог получить результат. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","По обращению пациента проверена информация. В истории заказа отражено, что изначально при оформлении, e-mail был внесен неверно, также была допущена опечатка в дате рождения пациента. При повторном обращении клиента персональные данные и e-mail были отредактированы. Регистратору выдана обратная связь на предмет более внимательного внесения данных. На момент связи с пациентом, результаты исследования получены, как в печатном варианте, так и в электронном. Клиенту принесены извинения от лица компании за доставленные неудобства. Претензий более к компании не имеет. "
19,"Довожу до Вашего сведения, что на горячую линию обратилась клиент (ФИО, тел) с жалобой на качество выполнения исследования. Свекровь клиента обратилась в   ПЗ Тимашевск   для сдачи биоматериала на исследование  «Коронавирус».  Тест показал положительный результат. Клиента госпитализировали в инфекционную больницу, родственники сидят на карантине. В инфекционной больнице   на указанное исследование анализ показал отрицательный результат, но врачи приняли решение продлить нахождение клиента в инфекционной больнице до 14 дней.  Клиент считает результат нашей лаборатории неверным. Клиент просит разобраться и принять меры. Ждет   звонка администрации.",
20,"Довожу до Вашего сведения, что на горячую линию обратился клиент с жалобой на неверно предоставленную информацию оператором контакт-центра.  Клиент  обратился на горячую линию с вопросом о сроках выполнения исследования «ПЦР Коронавирус». Оператор проинформировала клиента о том, что указанное исследование выполняется 2 рабочих дня, не считая дня сдачи. Клиент обратился в ПЗ  для сдачи биоматериала. Клиент недоволен тем, что получил результат раньше озвученного срока –  Клиент просит разобраться и принять меры. Ждет   звонка администрации. "," По обращению пациента проведено служебное расследование, в результате которого ошибки сотрудника горячей линии не выявлено. Оператор проконсультировал клиента верно, озвучив максимально заявленные сроки выполнения интересуемого исследования. Результат же по анализу пациента был выполнен не день ранее заявленного.Связаться с пациентом не удалось, на звонки по контактному номеру телефона не отвечает.   "
21,"     Довожу до Вашего сведения, что на сайт компании обратилась клиент с жалобой на ПЗ. Отзыв следующего содержания: «Сегодня, сдавали тест на covid 19,  нас обслуживала работник вашей клиники Крайне неприятная женщина , хамила , грубила , не обращала внимания на вопросы какие ей задают ,хотела бы что б приняли соотвествующие меры к данному сотруднику.  Клиент просит разобраться и принять меры.   Ждет звонка администрации.","По обращению пациента проведено служебное расследование, по результату которого вина медсестры не подтверждена. Для выяснения всех обстоятельств, просмотрены записи с камер видеонаблюдения.  Установлено, что обратившийся пациент является одним из корпоративных клиентов (ПАО Сбербанк), прибывших для сдачи анализа на CoVid 19. Медсестра попросила организовано заходить в пункт забора, соблюдая дистанцию, не образовывая толпы. У двух пациентов не оказалось информированного согласия и копии паспорта. Сотрудник сообщила, что без данного документа прием анализа невозможен. Грубости со стороны медсестры в отношении пациентов не зафиксировано.  Клиенты сделали копии паспорта и заполнили на месте информированное согласие. Прием анализов выполнен успешно. Пациенту принесены извинения от лица компании за то, что во время посещения лаборатории были моменты, которые огорчили. Сообщено, что сотрудник ни в коем случае не вкладывал негативный подтекст в свои слова, озвучивал лишь необходимые требования для сдачи материала. Клиент поблагодарил за обратный звонок, претензий более к компании не имеет. "
22,"     Довожу до Вашего сведения, что на горячую линию обратилась клиент с жалобой на ПЗ.  Клиент обратилась   в указанный ПЗ  для сдачи биоматериала на исследование «Коронавирус» своему ребенку. Сотрудник Роспотребнадзора по телефону проинформировал клиента о положительном результате. Клиент при оформлении заказа указала регистратору адрес электронной почты. Клиент недовольна тем, что  не получила результат на E-mail. Клиент просит разобраться и принять меры. Ждет    звонка администрации.","По обращению клиента проведено служебное расследование, в ходе которого выявлено, что в случае положительного результата на COVID-19, лаборатория передает информацию по пациенту в Роспотребнадзор. После чего, убедившись, что данные получены, направляет результат исследования пациенту на указанный во время оформления электронный адрес.  Первично информировать пациентов с положительным результатом могут сотрудники Роспотребнадзора, как сложилось в конкретном случае. Рассылка результата была задержана по причине праздничных (нерабочих) дней. Клиенту принесены извинения от лица компании за доставленные неудобства. "
23,"Довожу до Вашего сведения, что на горячую линию обратился клиент  с жалобой на оператора контакт-центра.  Клиент  обратился на горячую линию с вопросом сдачи биоматериала на ряд исследований.  После чего Клиент обратился в ПЗ для сдачи. Клиент недоволен тем, что оператор назвала итоговую сумму значительно ниже той, которую озвучил к оплате сотрудник ПЗ.  Клиент просит разобраться и принять меры.   Ждет звонка администрации.","По обращению пациента проведено служебное расследование, в ходе которого вина оператора Контактного Центра не подтверждена. При звонке на горячую линию, клиент спросил ""можно ли еще сейчас сдать анализы"" и перечислил перечень исследований, в том числе ВИЧ. Оператор уточнила у клиента, нужен ли результат на ВИЧ с выдачей справки или подойдет результат на нашем бланке. Клиент затруднился ответить, и оператор проинформировала по стоимости  этих двух исследований. Клиент ответил, что ему это подходит. Далее клиент спросил время приема биоматериала и сроки выполнения исследований. Оператор дала клиенту полную консультацию по интересующим вопросам. О стоимости других исследований клиент не спрашивал. Пациенту принесены извинения от лица компании за возникшее недопонимание. Клиент проинформирован, что состоявшийся диалог прослушан ответственным сотрудником, ошибок в консультации не выявлено. С результатом рассмотрения жалобы пациент остался не согласен. Ожидал возврата разницы денежных средств озвученных оператором и оплаченных при сдаче анализов."
24,"Довожу до Вашего сведения, что  на горячую линию обратилась клиент с жалобой на ПЗ Сочи,  Клиент обратилась  в указанный ПЗ в 9:20 для сдачи биоматериала.  Клиент недовольна тем, что указанный ПЗ был закрыт.  Клиент просит разобраться и принять меры. Ждет   звонка администрации.","По обращению клиента проверена информация. Указанный пациентом филиал временно не работает. Пациенту принесены извинения от лица компании за доставленные неудобства, озвучены альтернативные пункты забора, в которых проводится прием пациентов. "
25,"     Довожу до Вашего сведения, что на сайт компании обратилась клиент с отзывом следующего содержания на ПЗ:  «Добрый день. Пришла на сдачу анализов в 8.00. 20 минут прошло чтобы оформили. 30 минут сижу жду чтобы просто сдать кровь. Скорость обслуживания не отличается от бесплатной медицины».","По обращению пациента проверена информация, установлено, что длительное ожидание связано с большим потоком пациентов в утреннее время. Задержек в оформлении не зафиксировано. В базе Генезис отражено, что с 8:00 до 09:00 каждые 4 минуты оформляется заказ. Клиент подошла в 8:15, в 8:21 была оформлена. Длительное ожидание приглашения в процедурный кабинет было вызвано большим количеством анализов у предыдущих пациентов, что также отражено в программе Генезис. Пациенту принесены извинения от лица компании за доставленные неудобства. Клиент поблагодарила за обратную связь, претензий к компании более не имеет."
26,"Довожу до Вашего сведения, что на горячую линию обратился клиент с жалобой на сроки выполнения исследования. Клиент обратился в ПЗ для сдачи биоматериала на исследование «Короновирус». Клиент был проинформирован, что исследование выполняется в течении 2-х рабочих дней. Клиент недоволен тем, что исследование было выполнено. Клиента не устраивает дата формирования документа по причине того, что по месту требования годность анализа 3 дня. Клиент просит разобраться и принять меры.   Ждет звонка администрации.","По обращению пациента проверена информация. Исследование было выполнено в заявленный срок, в течение 2-х рабочих дней, нарушений со стороны компании не обнаружено. Пациенту принесены извинения за сложившуюся ситуацию. Также даны пояснения, что датой справки, необходимой для предъявления работодателю является именно дата сдачи биоматериала. Дата же формирования документа не является ключевой и не влияет на срок годности исследования. "
27,"Довожу до Вашего сведения, что на горячую линию обратилась клиент с жалобой на ПЗ.  Клиент  обратилась в указанный ПЗ для сдачи биоматериала на исследование «Копрограмма» своему ребенку. Клиенту пришлось ожидать в общей очереди около часа по причине того, что в ПЗ велся прием биоматериала на COVID-19 по предварительной записи. Клиент недовольна тем, что в ПЗ не размещена информация об ограничениях по времени в приеме биоматериала на стандартные исследования. Клиент считает, что филиалы лаборатории должны принимать биоматериал в рабочие часы без ограничений «через одного».  Клиент просит разобраться и принять меры.   ","По обращению пациента проверена информация. Установлено, что клиент обратилась после 12:00 во время приема пациентов по предварительной записи на коронавирусную инфекцию. Информация в соответствующем объявлении размещена на входной группе. Медсестра сообщила, что сможет принять материал на «Копрограмму» и оформить заказ, после обслуживания пациентов по записи и попросила ожидать. Запись пациентов была плотная, поэтому ожидать клиенту, к сожалению, пришлось длительное время. В итоге сотрудники приняли пациента, заказ оформлен успешно.  Клиенту принесены извинения от лица компании за длительное ожидание. Клиент поблагодарил за обратную связь, претензий более к компаний не имеет."
28,"Довожу до Вашего сведения, что на горячую линию    обратился   клиент  с жалобой  на качество выполнения исследований. Сын клиента обратился в ПЗ для сдачи биоматериала на исследование «Коронавирус». Клиент был проинформирован по телефону сотрудником Роспотребнадзора «с однозначным утверждением, что сын болен COVID-19. Также сотрудник проинформировал клиента о необходимости соблюдать карантин всем членам семьи.   Заключение аккредитованного испытательного лабораторного центра: РНК коронавируса 2019-nCoV  НЕ ОБНАРУЖЕНА. Клиент недоволен тем, что по причине положительного результата нашей тест-системы Семену Сергеевичу пришлось отменить командировку. Клиент просит разобраться. Ждет звонка администрации.     ",
29,"     Довожу до Вашего сведения, что на горячую линию обратилась клиент с жалобой на ПЗ.  Клиент  обратилась  в указанный ПЗ с мужем  для сдачи биоматериала на ряд исследований. Клиент недовольна тем, что сотрудник не внесла адрес электронной почты в заказ. По этой причине клиент не получила результаты сразу по готовности.   Клиент просит разобраться и принять меры.   Ждет звонка администрации.","По обращению пациента проверена информация. В заказе электронный адрес отсутствует, несмотря на то, что при оформлении был предоставлен. Сотруднику выдана обратная связь о необходимости более внимательного внесения данных. Пациенту принесены извинения от лица компании за доставленные неудобства. Клиент поблагодарила за обратный звонок, претензий более к компании не имеет. На момент связи с пациентом все результаты исследования получены."
30,"Довожу до Вашего сведения, что на горячую линию обратилась клиент с жалобой на ПЗ.  Клиент обратилась  в указанный ПЗ  для сдачи биоматериала.   Клиент недовольна тем, что сотрудник отказала в приеме биоматериала, объяснив отказ тем, что  филиал не работает.  Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","По обращению пациента проведено служебное расследование, в результате которого установлено, что график работы указанного пункта забора зависит от режима работы клиники, в котором он расположен («Клиницист»). Информирования о выходном дне от администрации учреждения не поступало, по данной причине сотрудники филиала с утра присутствовали на рабочем месте, где им сообщили о том, что клиника не работает, как соответственно и пункт забора.  Вследствие этого медсестра была вынуждена отказать в приеме биоматериала, предложив обратиться пациенту в ближайший филиал лаборатории. Связаться с пациентом не удалось, на звонки по контактному номеру телефона не отвечает."
