, текст_обращения
178,претензия хотеть клиент  –  пациентка недовольный пз большой очередь м оформлять медленно пациент  « поверхностно брать анализ коронавирус »
179,претензия хотеть клиент  –  недовольный обращаться пз 18.30 пз полностью закрывать
180,суть претензия пациент обращаться сдача пцр тесто ковид свой семья пз соблюдать антиковидный мера помимо пз находиться 6 человек
181,суть претензия пациент обращаться ребенок забор исследование ребенок повышенный температура тело пациент возмущаться работа отделение 1 сотрудник оформлять проводить забор анализ долгий ожидание очередь
182,суть претензия пациент обращаться пз сдача анализ полиморфизм ген система свертывание протеин прождать очередь полчаса медсестра уточнять смочь сдавать анализ итог анализ протеин пробирка пз
183,претензия хотеть клиент  –  пациентка недовольный получать результат живой печать пациентка обращать внимание необходимый сотрудник пз заранее предупреждать формат предоставление результат исследование
184,претензия хотеть клиент –  пациент обращаться пз сдача анализ антитело коронавирусный инфекция регистратор отказывать оформление документ пациент захотеть надевать маска пациент утверждать легочный недостаточность задыхаться хотеть садиться забор анализ надевать маска регистратор отказывать пациент прием анализ
185,"претензия хотеть клиент  –  отказывать использование карта лояльность предоставление скидка сдача анализ ребенок пациент сдача анализ ранее проходить проблема пациент просить начислять стоимость анализ сдавать дата ),  скидочный карта"
186,суть претензия пациентка недовольный очередь стоять улица пускать 1 человек долгий оформление документ пациент понимать почему раздавать очередь бумага оформление сразу сокращать время ожидание почему пускать пз сразу несколько человек ускорение обслуживание пациент просить разбираться принимать мера
187,претензия хотеть клиент  –  пациент недовольный врач консультант горячий линия работать будни пациент необходимо получать консультация расшифровка анализ предоставление работодатель
188,претензия хотеть клиент –   сдавать анализ пз м пз забор кровь брать использовать материал пациентка опасаться заражение
189,претензия хотеть клиент  –  пз большой очередь длительный ожидание принимать 1 м 1 регистратор
190,суть претензия  –  пациентка недовольный пз сотрудник предупреждать анализ сдавать поздно день готовый следующий день пациентка возмущать момент пересечение граница вечер пцр анализ коронавирус просрочивать пациентка требовать возврат денежный средство
191,претензия хотеть клиент  –  пациентка недовольный м оформлять взять анализ код 300 общий анализ кровь пациентка неоднократно проговаривать 8 нужный анализ код 333 общий анализ кровь микроскопия пациент просить разбираться принимать мера срочно
192,претензия хотеть клиент  –  пациентка жаловаться очень большой очередь пз вести прием человек выполнять функция регистратор медсестра итог справляться свой работа
193,претензия хотеть клиент  – выполнять результат англ язык пациент предупреждать документ подаваться
194,претензия хотеть клиент  –  пациентка недовольный сотрудник пз вести грубо хамски отношение пациент
195,суть претензия пациент жаловаться пз медсестра работать прием анализ администратор работа пациент происходить очень медленно
196,претензия хотеть клиент  –  сдавать дом анализ акцентировать свой внимание результат нужный э почта предоставлять выездной мед сестра дважды работник получать почта проигнорировать требование пациент оставлять граф пустой оформление работник пообещать результат поступать адрес почта день гл позвонить пациентка уточнение срок подготовка результат оператор сообщать результат готовый заказ адрес э почта разгневать мама пациентка перепутывать должность мед сестра оператор становиться обвинять гл почта умышленно вносить заказ пренебрегать наш основный функционал пациентка товарный чека код доступ см сообщение отказываться слушать информация отсутствие гл сила помогать разрешение проблема т соответствие правило оператор код получение отправлять результат э почта мочь услышать отказ мать пациентка пообещать приезжать юр адрес адрес лаборатория лично переговаривать мед сестра вносить почта слушать информация мочь метод решение проблема крайне недовольный работа мед сестра доставлять неудобство требовать извинение
197,суть претензия пациентка недовольный указанный пз отец сотрудник отказывать предоставление скидка анализ код 266 размер 30 акция  « мама папа вирус семья » пациент заранее ознакомляться акция сайт компания пациент просить разбираться предоставлять скидка ждать звонок администрация
198,"претензия хотеть клиент – пациентка обращаться пз сдача комплекс витаминка "",  сайт указывать стоимость 2100 пометка учет территориальный прайс "",  пациентка понимать смысл фраза пациентка требовать обратный связь руководство вопрос информация сайт"
199,претензия хотеть клиент  –  клиент обращаться пз филиал закрывать хотя накануне уточнять информация режим работа обращать внимание корректный обращение сотрудник пациент хамить информировать стоимость исследование предоставлять информация сдача анализ 3 обращаться пз сталкиваться обращение
200,суть претензия пациент обращаться пз забирать результат анализ попросить медсестра давать комментарий медсестра грубый тон сообщать работа пациент медсестра одевать шорты майка находиться процедурный кабинет возмущать отношение
201,претензия хотеть клиент  –  пациент жаловаться первый адрес указывать электронный почта
202,"суть претензия пациент обращаться пз сдача анализ антитело вакцинация ковид пз мед регистратор предлагать сдавать комплекс  « поствакцина »,  пациент устраивать стоимость предлагать сдавать нейтрализовать антитело пациент возмущать мед персонал вести рынок сначала цена"
203,претензия хотеть клиент  –  пациентка недовольный сотрудник пз вести грубо хамски отношение пациент просить принимать мера
204,суть претензия пациент подходить пз 11.30 сдача кровь антитело коронавирус прием отказывать направлять предварительный запись
205,претензия хотеть клиент  –  обращаться просьба установка дополнительный урна рядом наш филиал пациент наш филиал выходить прием выбрасывать использовать маска вата кровь бахила просто улица самый засорять окружающий территория очень нравиться население
206,претензия хотеть клиент  –  забор исследование анти коронавирус группа человек наблюдаться кожный высыпание рука напоминать ожог воспаление проходить течение длительный период просить обращать внимание просить предоставлять обратный связь
207,претензия хотеть клиент  –  нужный чек договор т выдавать время забор пациент
208,претензия хотеть клиент  –  недовольный обращаться пз 18.30 забирать анализ висеть табличка надпись технический перерыв уборка полчаса итог анализ удаваться забирать
209,претензия хотеть клиент –  пациент недовольный пз м грубить очередь большой м сказать  : « ребенок доходить очередь »  клиент очень возмущать отношение платный лаборатория поэтому отказываться сдавать анализ  « готовый платить деньги отношение должно соответствующий » -  цитата пациент обратный связь требоваться просить принимать мера
210,претензия хотеть клиент  –  недовольный пз пообещать вносить адрес э почта заказ анализ поступать звонок гора линия обнаруживаться адрес э почта отсутствовать пациент предлагать вносить адрес э почта заказ анализ отправлять устраивать настаивать жалоба
211,претензия хотеть клиент  –  пациент утверждать сотрудник филиал неверно проинформировать срок выполнение тесто пцр
212,претензия хотеть клиент  –  пациент недовольный сотрудник неверно проинформировать пациент срок выполнение исследование пцр коронавирус пациент заранее обращаться пз уточнение информация сотрудник проинформировать пациент анализ готовый пятница вечер суббота утро пациент нужно сдавать анализ четверг обед пациент недовольный результат выполнять 16.07 21 7 00 тест подходить заселение пациент просить разбираться принимать мера
213,претензия хотеть клиент  –  пациент сдавать анализ cito пцр коронавирус проинформировать пз анализ готовый следующий день утро итог обращаться пз пациент сориентировать анализ готовый срок исполнение 16 час оповещать поэтому пациент просить разбираться ситуация услуга оказывать обращать внимание иметь смысловой нагрузка срочный режим лаборатория выполнять 2 3 час стоимость пациент просить обратный связь
214,претензия хотеть клиент  –  пациент недовольный обращение пз получение результат филиал полностью закрывать пациент считать ситуация грубый нарушение пациент смочь забирать свой результат просить разбираться принимать мера
215,"претензия хотеть клиент  –   пациент недовольный м грубый форма отказывать предоставление скидка 30 акция  « мама папа »  семья 5 человек иметь паспорт свидетельство рождение брак договор туризм весь семья пациент : «  из-за хамский отношение семья приходиться обращаться лаборатория »
"
216,претензия хотеть клиент  –  неуважительный обращение неправильный заполнение документ пациент хотеть документ заполнять правильно
217,претензия хотеть клиент  –  пациент сдавать анализ cito пцр коронавирус проинформировать анализ выполнять полночь обращение горячий линия анализ находиться стадия выполнение пациент устраивать ответ анализ выполнять 16 час поэтому просить вернуть денежный средство оказывать слуга
218,претензия хотеть клиент  – пациент обращаться пз внесение дополнение информация марка срок годность анализатор комментарий результат пцр ифа коронавирус пациент недовольный приходиться добиваться исполнение просьба течение час сотрудник отказывать помощь выполнение просьба пациент сотрудник предупреждать пациент обращаться лаборатория пациент планировать сдача снова хотеть конфликт просить разъяснять сотрудник информация обязанность
219,"претензия хотеть клиент  –  обращаться пз сдача кровь anti коронавирус антитело igg rbd s белка sars cov 2 ) [ производство usa семейный скидка 30 %,  медицинский сестра оформлять заказ anti коронавирус igg sars cov 2 ) [ bб ],  пациент : « медицинский сестра проинформировать код 287 распространяться скидка оформлять заказ код 797 »"
220,претензия хотеть клиент  –  оплата анализ получать чек отмена операция карточка деньги списывать хотеть вернуть свой деньги предлагать обращаться банк проверять баланс счет т денежный средство мочь зачислять карта пациент отказываться собираться идти пз
221,претензия хотеть клиент  –  сотрудник пз оформлять пациент пообещать результат пцр тест загружать госуслуга автоматически готовность сайт госуслуга лаборатория результат загружать пациент просить выполнять свой обязательство качество компенсация предоставлять скидка частичный возврат денежный средство
222,"претензия хотеть клиент  –  пациент обращаться 11 50 очередь 3 человек занимать заранее ),  сотрудник отказывать прием приходиться настаивать скандал сотрудник отказывать приходить сдача биоматериал пациент итог сотрудник принимать весь пациент 12 15 сотрудник оставаться 15 минута окончание прием пациент считать сотрудник пз своевольный отказывать пациент т хотеть обслуживать пациент пациент просить разбираться принимать мера"
223,претензия хотеть клиент  –  пациент недовольный получать результат анализ оака причина выбраковка пациент понедельник прием врач результат нужный срочно пациент считать выбраковка биоматериал вина медицинский сестра выполнять забор пациент требовать выполнять анализ сегодня cito пз московский 96 счет лаборатория ждать срочный звонок администрация
224,претензия хотеть клиент  –  пациент обращаться пз 7 00 7 29 мед сестра рабочий место оператор смочь уточнять причина отсутствие сотрудник необходимо сдавать анализ сколько время место давать гарантия завтра ситуация повторяться пациент возмущать требовать срочный обратный связь решение проблема
225,претензия хотеть клиент  –  пациент недовольный личный кабинет заявка статус пациент просить техпожжердку связываться решать проблема пациент недовольный сотрудник пз неверно проинформировать срок выполнение анализ пообещать готовность результат анализ код 797 следующий день
226,претензия хотеть клиент  –  администратор филиал очень медленно обслуживать пациент очередь двигаться просить принимать мера жалоба
227,претензия хотеть клиент  –  недовольный м указывать верный адрес э почта заказ анализ поступать звонок гора линия обнаруживаться адрес э почта указывать неверно пациент предлагать вносить адрес э почта заказ анализ отправлять э п пациент равный оставлять жалоба
228,претензия хотеть клиент  –   пз работать медицинский сестра находиться адекватный состояние общение пациент просьба изменение заказ электронный почта медицинский сестра начало стесняться выражение употреблять цензурный адрес пациент момент разговор присутствовать пациент планировать проводить забор исследование обращение очередь разбегаться из-за хамский отношение получение результат анализ значение повышать поэтому пациент попросить переделывать анализ медицинский сестра отвечать : « переделывать ничто собираться мочь повторно пересдавать анализ свой счет »
229,претензия хотеть клиент  –  пациент желать оставлять жалоба сотрудник пациент обращаться сдача пцр тест опаздывать 5 мина клиент ходить маска аптека пз маска предоставлять сотрудник становиться по-хамски разговаривать время пропускать сдача пцр тесто клиент просить принимать мера отношение сотрудник
230,претензия хотеть клиент –  сдавать тест антитело коронавирус код 287 возмущать 11 30 отделение закрывать далее открываться оно 12 час вопрос проинформировать оператор таков регламент работа пз считать медсестра абсолютно  « по-хамски »  обращаться требовать административный взыскание либо угодно управа м
231,претензия хотеть клиент  –  администрация место забор кровь находиться помещение соответствовать требование санпин
232,претензия хотеть клиент  –  недовольный обращение пз давать м направление работа указывать антитело m g результат м оформлять заказ g пересдавать заново анализ пациент ждать звонок администрация
233,претензия хотеть клиент  –  жаловаться работать мед сестра прием ввестись очень медленно пациент ожидать очередь 10 15 мина весь присутствующий ожидать духота неудобный длительно
234,претензия хотеть клиент  –  пациент выполнять качественный забор материал анализ код 520 пцр фемофлора 16 консультация пациент 2 гинеколог сделать вывод результат наш лаборатория недостоверный звонок переводить врач консультант гл пациент оставаться уверенный просьба разбираться давать обратный связь
235,претензия хотеть клиент  –  пациент утверждать взять анализ хотеть сдавать биохимия кровь сделать общий анализ кровь клиент настаивать переделывать анализ
236,претензия хотеть клиент  –  недовольный сдавать анализ индекс нома входить глюкоза инсулин регистратор указывать сказать м брать анализ регистратор обращать внимание пациент считать обязывать знать входить анализ регистратор мочь указывать умалчивать пробивать индекс нома глюкоза инсулин заказ пациент считать переплачивать анализ просить вернуть стоимость переплачивать анализ бонус будущий заказ пациент ждать звонок администрация итог рассмотрение
237,претензия хотеть клиент  –  недовольный пз 1 м долгий ожидание очередь пациент ждать обратный звонок
238,претензия хотеть клиент  –  пз работать медицинский сотрудник оформлять проводить забор исследование связь долгий ожидание очередь многий пациент вынуждать уходить дождаться обслуживание просить обратный звонок
239,претензия хотеть клиент  –  медицинский сестра неправильно взять анализ поздно сказать пересдавать снова результат ждать уверенный анализ выполнять правильно хотеть вернуть деньги получать правильный результат анализ скоро
240,претензия хотеть клиент  –   сдавать кровь антитело документация написать кровь исследование брать желтый пробирка дальнейший центрифугирование невестка кровь взять пробирка красный цвет документ написать итог лаборатория анализ брать по-другому переживать результат неверный говорить хотеть пожаловаться роспотребнадзор
241,претензия хотеть клиент  –  пациент недовольный перевод звонок запись врач мк номер недоступный отвечать пациент мочь записываться врач пациент недовольный пз работать  « хамовитый сотрудник » пациент недовольный пз 12 00 13 00 закрывать филиал перерыв направлять пз обратный звонок ждать просить разбираться принимать мера
242,"претензия хотеть клиент –   пациентка ждать м пз сослуживец половина 8 ),  приходить хотеть перезванивать уточнять причина отсутствие сотрудник место работать филиал суббота воскресение понедельник"
243,претензия хотеть клиент  –  пациентка возмущать работа персонал филиал человек выполнять функция администратор медсестра поэтому клиент смочь сдавать анализ свой ребенок инвалид
244,претензия хотеть клиент  –  сдача анализ пцр ускоренный режим медсестра оформлять пациент пообещать результат анализ пациент получать следующий день 8 час утро результат момент обращение гл готовый пациент самолет день
245,претензия хотеть клиент  –  недовольный обращение пз уточнение наличие запись пцр коронавирус м игнорировать попросить выходить филиал пациентка иметь возможность прозвонить гора линия уточнение обратный звонок требоваться
246,"претензия хотеть клиент  –  клиент зайти порог сдавать пцр covid 13 00 ),  медсестра отвечать хамство приходить время оплата весь купюра устраивать медицинский сестра пациент заменять деньги приходить время анализ взятие мазок медицинский сестра пациент специально сделать больно ранее пациент сдавать анализ пз чувствовать комфортно пз клиент медсестра засовывать палка самый глоток пациент уходить сдача анализ неприятный болезненный ощущение оставаться приходить снова желание хотеть проводить беседа медицинский сестра поменять работник следующий пациент работник общаться по-хамски"
247,претензия хотеть клиент  – пациент недовольный обращение пз сдача анализ 7 25 пз закрывать никакой объявление изменение режим работа дверь указывать пациент считать ситуация недопустимый просить разбираться принимать мера
248,претензия хотеть клиент  – пациент недовольный срочный режим выполняться анализ очень долго пациент нужный результат утро следующий день
249,претензия хотеть клиент  –  пациент ребенок вчера производить забор анализ оам оака мама ребенок обращать внимание медицинский сестра мочь производить забор оака связь кровь свернуться из-за пациент повышенный температура тело несколько проводить прокол связь пациент болевой эффект мед сестра изначально сообщать предупреждать забор анализ проводиться высокий температура тело клиент настаивать итог сегодня обращение пз получение результат оака выполнять брак необходимо проводить перезабор клиент устраивать клиентка просить решать ситуация иметь желание приходить пз связь мед сестра квалифицированно проводить забор кровь готовый обращаться пз перезабор
250,претензия хотеть клиент  –  отец пациент возмущать сотрудник филиал предупреждать реагент анализ ребенок кровь взять обращаться ждать обратный связь
251,претензия хотеть клиент  –  сотрудник филиал вносить почта заказ клиент просить вернуть деньги обратно пациентка ждать обратный связь
252,претензия хотеть клиент  –  пац обращаться пз считать работать профессиональный сотрудник допускать болезненный ощущение место прокол пациент появляться синяк опухать рука мочь сгибать рука локтевой сгиб оставаться царапина мед сотрудник выдергивать иголка пациент вена самый появляться шишка боль требовать обратный звонок рассмотрение претензия
253,претензия хотеть клиент  –  сегодня 8 утро пациент сдавать анализ претензия время ожидание оплата составлять 35 минута недопустимо терминал работать ждать обратный звонок
254,претензия хотеть клиент  –  пациентка довольный приходить анализ электронный почта довольный анализ приходить вовремя
255,претензия хотеть клиент  –  сдавать кровь гемоглобин анализ показывать неверный результат оказываться превышать десяток обращение пз сказать ошибка мочь пз звонить искать пациент номер клиент никто звонить повод клиент довольный работа пз лаборатория хотеть возврат денежный средство
256,"претензия хотеть клиент  –  пациентка повторно хотеть сдавать анализ  « посев микоплазма уреаплазма » ( код 600 ),  оформление заказ пз неверно указывать код далее пациентка : « название предыдущий код 610 »"
257,"претензия хотеть клиент  –  пациент недовольный обращение пз вечерний время спад жара 18 40 сдача биоматериал аллерген кровь ),   свой ребенок сотрудник равнодушно отказывать прием биоматериал сотрудник объяснять отказ кровь приниматься утренний час пациент жить 25 км филиал зря потратить время денежный средство пациент просить администрация предоставлять объяснение почему расписание дверь пз никакой ограничение 7 19 00 пациент считать информация дверь пз соответствовать действительность являться неуважение свой пациент пациентка просить разбираться принимать мера"
258,претензия хотеть клиент  –  обращаться пациент гл жалоба пз система обслуживание должный уровень требовать связываться руководство оператор ничто собираться объяснять
259,претензия хотеть клиент  –  пациентка : « обращаться пз запись пцр ковид м отказывать прием купон мобильный приложение м сказать лаборатория акция » время разговор оператор разъяснять скидка акция суммироваться пациент равный пожелать оставлять жалоба
260,претензия хотеть клиент  –  клиент обращаться пз забор анализ оплата клиент собираться предоставлять наличный путь оплата клиент предоставлять сумма расчет связь медицинский сестра сказать : « сдача искать самостоятельно необходимый сумма » клиент ситуация возмущать организация немного иначе подход клиент необходимо срочный порядок сдавать необходимый анализ из-за ситуация приходиться просить лицо перевод деньги карта
261,претензия хотеть клиент жаловаться грубый отношение сотрудник пз клиент зайти пз уточнять налоговый вычет грубый форма сказать давать просить связываться решение жалоба
262,претензия хотеть клиент  –  пациент обращаться пз сдача анализ оформление анализ регистратор фамилия вести неподобающий хамить грубо разговаривать вопрос анализ отвечать нехотя пациент отмечать вести неадекватно сначала хамить грубить становиться извиняться пациент просить разбираться ситуация научать сотрудник общаться адекватно очень ждать обратный звонок
263,"претензия хотеть клиент  –  обращаться пз забирать результат анализ антитело covid ),  попросить медицинский сестра подсказывать расшифровка анализ медсестра отвечать написать бумага расшифровывать ничто обязанный сказать звонить горячий линия пациент работник пз грубый невежливый очень некорректный вести человек пациент"
264,"претензия хотеть клиент  –  претензия сотрудник филиал жалоба некомпетентность смочь взять кровь ребенок 10 мес ),  искалывать рука отправлять филиал пациент очень злой просить принимать мера сотрудник ждать обратный связь"
265,претензия хотеть клиент  –  обращаться ребенок забор кровь производить смочь мед сестра обладать квалификация забор кровь ребенок мед сестра позвонить 2 наш филиал уточнять возможность забор кровь сориентировать сегодня специалист жалоба обращение клиент сотрудник компетентный свой работа просить обратный звонок
266,претензия хотеть клиент  –  отказываться принимать кровь палец ребенок 8 мес оба филиал причина указывать мед сестра мочь хотя ранее пациентка обращаться взрослый мед сестра брать анализ пациент ждать обратный связь
267,претензия хотеть клиент  –  пациентка недовольный пз м посоветовать анализ сдавать антитело вакцинация коронавирус получать результат течение сутки м сказать анализ готовый понедельник
268,претензия хотеть клиент  –  пациент обращаться пз сдача анализ рассчитывать расплачиваться мелочь номинал 5 10 рубль пз отказываться принимать мелочь ссылаться лаборатория   –  частный организация сотрудник иметь право отказываться прием мелочь пациент расплачиваться карта попросить официальный отказ бумага отказывать планировать обращаться полиция считать нарушать закон рф
269,претензия хотеть клиент  –  недовольный м пз предупреждать анализ 532 пцр вирус гепатит c hcv c определение тип тип 1 2 3 рассматриваться тип 1 2 3 1а 1б т д итог рассмотрение жалоба просить возврат денежный средство обязательный обратный звонок
